[06-Sep-2026 17:09:17] NOTICE: fpm is running, pid 9
2026/09/06 17:09:17 [alert] 97#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 98#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 100#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 103#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 105#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 101#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 102#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 112#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 115#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 119#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 117#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 109#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 118#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 111#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 113#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 114#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 128#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 132#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 129#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 127#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 130#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 133#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 134#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 135#0: sched_setaffinity() failed (22: Invalid argument)
